DAUID,MAG_mean,MAG_std,hf_transit_mean,hf_walk_mean,n_blocks,CSDNAME,CMANAME,Residential instability Scores,Economic dependency Scores,Situational vulnerability Scores,Ethno-cultural composition Scores,Residential instability Quintiles,Economic dependency Quintiles,Situational vulnerability Quintiles,Ethno-cultural composition Quintiles
48060056,-0.0451,0.0033867388443752197,0.04833333333333334,0.0032333333333333333,3,Calgary,Calgary,-0.958,-0.601,-0.076,0.729,1.0,2.0,3.0,4.0
48060057,-0.05416666666666667,0.00473427220735493,0.056833333333333326,0.0026666666666666666,3,Calgary,Calgary,-0.61,-0.118,-0.008,0.927,2.0,3.0,4.0,5.0
48060058,-0.0504,0.007636753236814716,0.0538,0.0034,2,Calgary,Calgary,-0.696,0.286,-0.661,0.861,2.0,4.0,1.0,5.0
48060059,-0.0515,0.007919595949289334,0.0537,0.0022,2,Calgary,Calgary,-0.735,0.725,-0.625,0.751,2.0,5.0,2.0,5.0
48060060,-0.0422,,0.0443,0.0021,1,Calgary,Calgary,-1.212,1.878,0.079,1.292,1.0,5.0,4.0,5.0
48060061,-0.0417,0.016546298679765207,0.045399999999999996,0.0037,2,Calgary,Calgary,-0.506,-0.163,-0.602,1.317,2.0,3.0,2.0,5.0
48060062,-0.06709999999999999,0.010742749492875027,0.07285,0.00575,4,Calgary,Calgary,-0.417,0.458,-0.252,0.579,3.0,4.0,3.0,4.0
48060063,-0.0633,0.012586500705120551,0.06935,0.00605,2,Calgary,Calgary,0.201,-0.387,0.853,1.535,4.0,2.0,5.0,5.0
48060064,-0.07569999999999999,0.0005656854249492395,0.0846,0.0089,2,Calgary,Calgary,0.084,-0.126,0.028,2.055,4.0,3.0,4.0,5.0
48060065,-0.07840000000000001,0.015724821143656923,0.08686666666666666,0.008466666666666666,3,Calgary,Calgary,-0.339,0.947,-0.33,1.214,3.0,5.0,3.0,5.0
48060066,-0.08696000000000001,0.03225186816294522,0.09337999999999999,0.00642,5,Calgary,Calgary,-0.693,0.852,-0.143,-0.258,2.0,5.0,3.0,3.0
48060067,-0.08927500000000001,0.006821229117004255,0.098375,0.0091,4,Calgary,Calgary,-0.34,-0.099,-0.419,0.192,3.0,3.0,2.0,4.0
48060068,-0.1075,0.012475843324868528,0.1189,0.0114,4,Calgary,Calgary,0.632,-0.613,1.094,0.626,4.0,2.0,5.0,4.0
48060069,-0.10046666666666666,0.015476541387963045,0.11113333333333335,0.010666666666666666,3,Calgary,Calgary,-0.346,0.598,0.308,0.536,3.0,4.0,4.0,4.0
48060070,-0.082375,0.005647639624952469,0.09165000000000001,0.009275,4,Calgary,Calgary,-0.626,0.547,-0.125,1.059,2.0,4.0,3.0,5.0
48060071,-0.1075,0.007362744053679979,0.11656666666666667,0.009066666666666667,3,Calgary,Calgary,-0.026,0.07,0.422,0.22,4.0,3.0,4.0,4.0
48060072,-0.06633333333333334,0.00025166114784235015,0.07496666666666667,0.008633333333333333,3,Calgary,Calgary,-0.726,0.262,0.562,0.087,2.0,4.0,5.0,4.0
48060073,-0.058699999999999995,0.005798275605729689,0.06259999999999999,0.0039,2,Calgary,Calgary,1.084,-1.266,0.56,1.348,5.0,1.0,5.0,5.0
48060074,-0.0731,0.008061017305526653,0.0753,0.0021999999999999997,2,Calgary,Calgary,-0.708,0.654,-0.642,-0.429,2.0,4.0,2.0,3.0
48060075,-0.0662,0.004158124577258367,0.06826666666666666,0.0020666666666666667,3,Calgary,Calgary,0.216,0.373,0.065,0.133,4.0,4.0,4.0,4.0
48060077,-0.06998,0.003709716970336145,0.07352,0.00354,5,Calgary,Calgary,-0.246,-0.099,0.161,-0.066,3.0,3.0,4.0,4.0
48060078,-0.06323333333333332,0.005257692776621069,0.071,0.007766666666666666,3,Calgary,Calgary,-0.415,0.713,0.074,-0.062,3.0,5.0,4.0,4.0
48060079,-0.06283333333333334,0.008258530942808978,0.06946666666666666,0.006633333333333334,3,Calgary,Calgary,0.299,-0.303,1.081,1.099,4.0,3.0,5.0,5.0
48060080,-0.06080000000000001,,0.0666,0.0058,1,Calgary,Calgary,1.324,-0.252,2.584,0.02,5.0,3.0,5.0,4.0
48060085,-0.11083000000000001,0.014460524809901527,0.1206,0.00977,10,Calgary,Calgary,0.16,-0.324,0.594,2.211,4.0,2.0,5.0,5.0
48060086,-0.10490769230769231,0.013515698375004626,0.11706923076923077,0.012161538461538461,13,Calgary,Calgary,-0.163,-0.569,-0.157,0.191,3.0,2.0,3.0,4.0
48060087,-0.08627272727272728,0.005390935152474175,0.09812727272727272,0.011854545454545453,11,Calgary,Calgary,-0.405,0.295,-0.333,-0.104,3.0,4.0,3.0,3.0
48060088,-0.1012111111111111,0.012472313783380814,0.11479999999999999,0.013588888888888888,9,Calgary,Calgary,0.094,0.051,0.109,-0.231,4.0,3.0,4.0,3.0
48060089,-0.12305833333333333,0.018491642256255485,0.13478333333333334,0.011725,12,Calgary,Calgary,-0.317,0.595,0.169,0.323,3.0,4.0,4.0,4.0
48060090,-0.09022,0.053734876942261624,0.10136,0.01114,5,Calgary,Calgary,1.807,0.862,-0.039,0.972,5.0,5.0,3.0,5.0
48060091,-0.1555375,0.019238424163265395,0.162275,0.0067375,8,Calgary,Calgary,1.01,-0.939,0.266,0.457,5.0,1.0,4.0,4.0
48060092,-0.15508,0.027247132366952344,0.16196,0.00688,10,Calgary,Calgary,1.291,-0.5,0.104,0.247,5.0,2.0,4.0,4.0
